Reading,Time
1,06:44
2,05:18
3,00:43
4,03:00
5,06:43
6,00:44
7,00:45
8,01:28
9,02:14
10,02:59
11,00:46
12,01:28
13,02:15
14,02:16
15,00:44
16,00:46
17,01:28
18,00:45
19,01:30
20,00:42
21,00:44
22,00:47
23,01:29
24,00:45
25,00:43
26,01:29
27,00:45
28,00:45
29,01:28
30,00:47
31,00:44
32,00:44
33,00:44
34,00:44
35,01:30
36,00:44
37,00:44
38,00:44
39,00:46
40,00:46
41,00:44
42,00:45
43,00:44
44,00:44
45,00:46
46,00:43
47,00:45
48,00:47
49,00:43
50,00:46
51,00:45
52,00:44
53,00:46
54,01:30
55,01:30
56,00:45
57,00:45
58,00:46
59,00:44
60,00:46
61,00:46
62,00:43
63,00:46
64,00:46
65,00:44
66,01:31
67,00:44
68,00:44
69,00:44
70,00:44
71,00:47
72,00:44
73,00:43
74,00:47
75,00:45
76,00:44
77,00:46
78,00:45
79,00:46
80,00:41
81,00:46
82,00:45
83,00:43
84,00:46
85,00:45
86,00:47
87,00:44
88,00:45
89,00:47
90,00:44
91,00:46
92,00:44
93,00:44
94,00:43
95,00:44
96,00:46
97,00:47
98,00:43
99,00:45
100,00:45
101,00:44
102,00:45
103,00:45
104,00:42
105,01:32
106,00:45
107,00:45
108,00:45
